"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"7210","31","25","357","304","53","2","25","37","3","22","106.1","25","6","267","5","13","0","0","31:58"
"8210","0","13","196","151","45","2","25","44","3","25","44.8","19","8","328","4","15","0","2","28:46"
"9112","24","23","395","309","86","1","34","42","1","2","121.1","18","5","221","5","12","0","1","29:04"
"10210","21","17","313","213","100","1","22","37","0","0","82.4","17","4","167","7","12","0","1","24:21"
"11210","20","18","448","365","83","5","23","40","1","0","73.4","19","2","106","6","13","0","1","28:11"
"12210","17","15","221","154","67","3","23","34","7","61","62.6","19","5","208","2","11","2","3","27:19"
"13210","35","15","367","222","145","3","18","32","2","13","72.7","30","9","386","4","15","0","0","34:22"
"14210","27","21","362","242","120","","25","38","2","21","109.8","30","7","315","4","14","1","1","36:09"
"15210","16","21","349","249","100","3","28","49","3","25","45.4","21","4","187","5","16","1","2","32:25"
"16210","13","15","345","286","59","2","19","38","0","0","83.9","16","2","59","0","8","0","2","22:07"
"17210","16","21","356","263","93","1","30","44","1","8","81.9","22","4","186","5","13","1","3","28:56"
"239","27","18","342","222","120","2","20","28","1","8","88.7","29","4","215","2","10","0","1","30:25"
"339","20","18","257","122","135","2","17","23","4","46","114.8","31","6","295","6","13","0","0","28:25"
"439","28","13","373","332","41","","18","24","1","9","156.2","14","6","282","2","8","0","0","21:29"
"539","7","11","172","116","56","2","15","25","2","19","68.1","18","7","293","3","11","1","1","23:38"
"6210","17","17","297","169","128","3","20","35","3","16","55.5","22","5","209","4","13","1","1","29:25"
"739","31","23","541","380","161","3","28","44","0","0","94.9","31","4","162","8","17","0","0","36:35"
"839","21","19","322","215","107","","22","31","4","24","111.6","19","4","182","6","11","0","0","26:21"
"9210","23","18","370","254","116","1","22","38","2","15","76.0","25","4","188","4","13","0","1","31:09"
"1039","13","7","168","104","64","","15","24","4","35","72.2","27","9","402","3","16","2","2","28:26"
"1139","12","19","294","163","131","2","23","37","6","50","61.0","23","2","77","4","14","3","4","32:08"
"1339","24","14","314","201","113","1","17","25","1","3","118.9","25","6","285","4","11","0","0","28:06"
